'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
0,2,1,2000,'SQUARE',3,22,2015,3161,'o311','',-1.99E+00,2000,1
0,5,1,2000,'THROAT',3,22,6512,1884,'o311','',2.56E-01,2000,5
1,6,1,2500,'CONCLUSION',3,22,11005,2926,'o311','',2.50E+00,2500,5
0,5,1,2500,'ELECTION',3,22,16005,2691,'o311','',5.00E+00,2500,5
1,5,1,1500,'ENTRANCE',2,2,21005,2107,'o311','',7.50E+00,1500,5
1,1,1,2500,'OCCASION',3,22,25005,2382,'o311','',9.50E+00,2500,1
1,4,1,2000,'INTERIOR',2,2,30005,1877,'o311','',1.20E+01,2000,3
0,6,1,2500,'NONE',2,2,34504,2528,'o311','',1.43E+01,2500,5
2,7,1,1500,'INVESTIGATION',2,2,39505,2923,'o311','',1.68E+01,1500,0
1,2,1,2500,'CAPITAL',2,2,43505,2123,'o311','',1.88E+01,2500,1
1,3,1,1500,'BEGINNING',1,14,48505,3283,'o311','',2.13E+01,1500,3
1,3,1,2500,'HEALTH',1,14,52504,3090,'o311','',2.33E+01,2500,3
2,7,1,2500,'PRESENCE',3,14,57505,2219,'o311','',2.58E+01,2500,0
2,7,1,3000,'CHILD',3,14,62504,2450,'o311','',2.83E+01,3000,0
2,7,1,2500,'FIRM',3,14,68004,2870,'o311','',3.10E+01,2500,0
0,1,1,2500,'SPITE',1,14,73004,2191,'o311','',3.35E+01,2500,1
0,4,1,1500,'OPINION',2,2,78005,1750,'o311','',3.60E+01,1500,3
2,7,1,2500,'ROUND',3,14,82004,1991,'o311','',3.80E+01,2500,0
0,3,1,1500,'PULL',3,22,87004,2491,'o311','',4.05E+01,1500,3
1,3,1,1500,'SURPRISE',1,14,91005,3261,'o311','',4.25E+01,1500,3
2,7,1,2000,'RAILROAD',3,14,95005,2731,'o311','',4.45E+01,2000,0
0,2,1,2000,'TEACHER',2,2,99504,1882,'o311','',4.68E+01,2000,1
1,5,1,2000,'WHEEL',2,2,104004,1812,'o311','',4.90E+01,2000,5
1,5,1,1500,'ACCOUNT',2,2,108505,2002,'o311','',5.13E+01,1500,5
2,7,1,2500,'SOCIETY',2,2,112504,1968,'o311','',5.33E+01,2500,0
0,4,1,1500,'GOAL',2,2,117504,1803,'o311','',5.58E+01,1500,3
0,5,1,2000,'PURPOSE',2,2,121505,1627,'o311','',5.78E+01,2000,5
0,5,1,3000,'VARIETY',2,2,126005,2243,'o311','',6.00E+01,3000,5
1,1,1,1500,'FAT',2,2,131504,1659,'o311','',6.28E+01,1500,1
1,1,1,2500,'CONSTRUCTION',2,2,135505,1898,'o311','',6.48E+01,2500,1
1,2,1,1500,'MINOR',2,2,140505,1888,'o311','',6.73E+01,1500,1
0,4,1,2500,'HOPE',3,22,144504,2240,'o311','',6.93E+01,2500,3
1,2,1,2500,'FRONT',2,2,149504,2140,'o311','',7.18E+01,2500,1
2,7,1,1500,'LADY',3,14,154504,3265,'o311','',7.43E+01,1500,0
2,7,1,3000,'EFFORT',3,14,158504,2116,'o311','',7.63E+01,3000,0
2,7,1,2500,'CRISIS',3,14,164004,1591,'o311','',7.90E+01,2500,0
1,4,1,2000,'FIGURE',1,14,169004,2541,'o311','',8.15E+01,2000,3
2,7,1,1500,'SURFACE',2,2,173505,2410,'o311','',8.38E+01,1500,0
1,4,1,1500,'SILENCE',2,2,177504,1772,'o311','',8.58E+01,1500,3
0,2,1,2000,'CALL',2,2,181504,1432,'o311','',8.78E+01,2000,1
0,3,1,1500,'FELL',3,22,186004,2532,'o311','',9.00E+01,1500,3
2,7,1,2000,'INCREASE',1,22,190005,2131,'o311','',9.20E+01,2000,0
0,1,1,2000,'ABILITY',2,2,194504,1748,'o311','',9.43E+01,2000,1
0,1,1,1500,'METHOD',2,2,199005,1567,'o311','',9.65E+01,1500,1
2,7,1,2000,'PALE',3,14,203004,2303,'o311','',9.85E+01,2000,0
