Study,cueing,sec.,test,stimuli,postcue,modality,delay,number
"Collette, Germain, Hogge, & Van der Linden (2009)",item,3,recall,word,3,visual,30,18
"Dulaney, Marks, & Link (2004, Expt. 1 recall)",item,3,recall,word,3,visual,90,30
"Dulaney, Marks, & Link (2004, Expt. 1 recog)",item,3,recog.,word,3,visual,90,30
"Dulaney, Marks, & Link (2004, Expt. 2 recall)",item,3,recall,word,3.17,visual,90,15
"Dulaney, Marks, & Link (2004, Expt. 2 recog)",item,3,recog.,word,3.17,visual,90,15
"Earles & Kersten (2002, ‘performed’ group)",item,8,recall,action phrase,6,visual,0,20
"Earles & Kersten (2002, ‘not performed’ group)",item,8,recall,action phrase,6,visual,0,20
"Gamboz & Russo (2002, ‘deep’ condition)",item,5,recall,word,1,visual,30,14
"Gamboz & Russo (2002, ‘shallow’ condition)",item,5,recall,word,1,visual,30,14
"Gamboz & Russo (2002, ‘control’ condition)",item,5,recall,word,1,visual,30,14
"Hogge, Adam, & Collette (2008)",item,3,stem-completion,word,4.5,visual,30,32
"Sahakan, Delaney & Goodmon (2008) Exp. 1",list,6,recall,action phrase,6,visual,60,12
"Sahakan, Delaney & Goodmon (2008) Exp. 2",list,6,recall,action phrase,6,visual,60,12
"Salthouse, Siedlecki & Krueger (2006)",item,5,recall,word/pic.,2,visual,0,15
"Sego, Golding & Gottlob (2006) Exp. 1A",item,5,recall,word,6,visual,300,12
"Sego, Golding & Gottlob (2006) Exp. 1B",item,5,recall,word,6,visual,300,12
"Sego, Golding & Gottlob (2006) Exp. 2A",list,5,recall,word,6,visual,300,24
"Sego, Golding & Gottlob (2006) Exp. 2B",list,5,recog.,word,6,visual,300,24
"Zacks, Radvansky, & Hasher (1996) Exp. 1A",item,5,both recall and recog.,word,1,visual,300,12
"Zacks, Radvansky, & Hasher (1996) Exp. 1B",item,5,both recall and recog.,word,1,visual,300,12
"Zacks, Radvansky, & Hasher (1996, Expt. 2, recall)",list,5,recall,word,0,visual,0,3.5
"Zacks, Radvansky, & Hasher (1996, Expt. 2, recog.)",list,5,recog.,word,0,visual,0,3.5
Zellner & Bäumel (2006) Expt. 1,list,3,recall,word,0,visual,120,12
"Zellner & Bäumel (2006) Expt. 2, output order 1",list,2,recog.,word,0,auditory,120,10
"Zellner & Bäumel (2006) Expt. 2, output order 2",list,2,recall,word,0,auditory,120,10
Zellner & Bäumel (2006) Expt. 3,list,2,recall,word,0,auditory,120,10
