'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
0,2,1,2000,'SQUARE',1,14,2015,1340,'y1004','',-1.99E+00,2000,1
0,5,1,2000,'THROAT',1,14,6511,1819,'y1004','',2.56E-01,2000,5
1,6,1,2500,'CONCLUSION',2,2,11005,1380,'y1004','',2.50E+00,2500,5
0,5,1,2500,'ELECTION',1,14,16005,1096,'y1004','',5.00E+00,2500,5
1,5,1,1500,'ENTRANCE',3,22,21005,836,'y1004','',7.50E+00,1500,5
1,1,1,2500,'OCCASION',3,22,25005,821,'y1004','',9.50E+00,2500,1
1,4,1,2000,'INTERIOR',3,22,30005,992,'y1004','',1.20E+01,2000,3
0,6,1,2500,'NONE',2,2,34504,1163,'y1004','',1.43E+01,2500,5
2,7,1,1500,'INVESTIGATION',1,22,39505,1386,'y1004','',1.68E+01,1500,0
1,2,1,2500,'CAPITAL',3,22,43504,892,'y1004','',1.88E+01,2500,1
1,3,1,1500,'BEGINNING',2,2,48505,1588,'y1004','',2.13E+01,1500,3
1,3,1,2500,'HEALTH',3,22,52504,949,'y1004','',2.33E+01,2500,3
2,7,1,2500,'PRESENCE',2,2,57505,1568,'y1004','',2.58E+01,2500,0
2,7,1,3000,'CHILD',2,2,62504,1289,'y1004','',2.83E+01,3000,0
2,7,1,2500,'FIRM',3,14,68004,1125,'y1004','',3.10E+01,2500,0
0,1,1,2500,'SPITE',2,2,73004,2565,'y1004','_14',3.35E+01,2500,1
0,4,1,1500,'OPINION',2,2,78010,1049,'y1004','',3.60E+01,1500,3
2,7,1,2500,'ROUND',1,22,82005,939,'y1004','',3.80E+01,2500,0
0,3,1,1500,'PULL',2,2,87004,1021,'y1004','',4.05E+01,1500,3
1,3,1,1500,'SURPRISE',2,2,91005,2230,'y1004','',4.25E+01,1500,3
2,7,1,2000,'RAILROAD',1,22,95005,1350,'y1004','',4.45E+01,2000,0
0,2,1,2000,'TEACHER',3,22,99505,610,'y1004','',4.68E+01,2000,1
1,5,1,2000,'WHEEL',2,2,104004,952,'y1004','',4.90E+01,2000,5
1,5,1,1500,'ACCOUNT',2,2,108505,1536,'y1004','',5.13E+01,1500,5
2,7,1,2500,'SOCIETY',3,14,112504,2772,'y1004','',5.33E+01,2500,0
0,4,1,1500,'GOAL',3,22,117504,878,'y1004','',5.58E+01,1500,3
0,5,1,2000,'PURPOSE',2,2,121505,1217,'y1004','',5.78E+01,2000,5
0,5,1,3000,'VARIETY',3,22,126004,1288,'y1004','',6.00E+01,3000,5
1,1,1,1500,'FAT',3,22,131504,1163,'y1004','',6.28E+01,1500,1
1,1,1,2500,'CONSTRUCTION',3,22,135505,1168,'y1004','',6.48E+01,2500,1
1,2,1,1500,'MINOR',3,22,140504,1124,'y1004','',6.73E+01,1500,1
0,4,1,2500,'HOPE',2,2,144504,1284,'y1004','',6.93E+01,2500,3
1,2,1,2500,'FRONT',3,22,149504,1394,'y1004','',7.18E+01,2500,1
2,7,1,1500,'LADY',2,2,154504,1715,'y1004','',7.43E+01,1500,0
2,7,1,3000,'EFFORT',2,2,158504,1500,'y1004','',7.63E+01,3000,0
2,7,1,2500,'CRISIS',3,14,164004,1320,'y1004','',7.90E+01,2500,0
1,4,1,2000,'FIGURE',3,22,169004,1225,'y1004','',8.15E+01,2000,3
2,7,1,1500,'SURFACE',1,22,173505,1065,'y1004','',8.38E+01,1500,0
1,4,1,1500,'SILENCE',2,2,177504,1316,'y1004','',8.58E+01,1500,3
0,2,1,2000,'CALL',3,22,181504,701,'y1004','',8.78E+01,2000,1
0,3,1,1500,'FELL',2,2,186004,856,'y1004','',9.00E+01,1500,3
2,7,1,2000,'INCREASE',1,22,190005,756,'y1004','',9.20E+01,2000,0
0,1,1,2000,'ABILITY',3,22,194504,2657,'y1004','_22',9.43E+01,2000,1
0,1,1,1500,'METHOD',3,22,199005,1536,'y1004','',9.65E+01,1500,1
2,7,1,2000,'PALE',2,2,203004,872,'y1004','',9.85E+01,2000,0
1,4,1,2500,'ARTICLE',3,22,207504,1658,'y1004','',1.01E+02,2500,3
1,1,1,2500,'REASON',3,22,212505,747,'y1004','',1.03E+02,2500,1
2,7,1,1500,'DOZEN',2,2,217505,1202,'y1004','',1.06E+02,1500,0
1,5,1,1500,'BILL',1,14,221504,1403,'y1004','',1.08E+02,1500,5
1,6,1,2000,'HOSPITAL',3,22,225505,1088,'y1004','',1.10E+02,2000,5
0,6,1,2000,'EXTRA',3,22,230004,629,'y1004','',1.12E+02,2000,5
0,1,1,1500,'FORT',3,22,234504,1049,'y1004','',1.14E+02,1500,1
1,6,1,2500,'MOTHER',2,2,238505,1673,'y1004','',1.16E+02,2500,5
0,3,1,1500,'EXECUTIVE',3,22,243505,849,'y1004','',1.19E+02,1500,3
2,7,1,1500,'UNCLE',2,2,247504,1060,'y1004','',1.21E+02,1500,0
1,3,1,2500,'FOOT',1,14,251504,1370,'y1004','',1.23E+02,2500,3
2,7,1,2000,'UNIT',2,2,256504,940,'y1004','',1.25E+02,2000,0
2,7,1,2500,'BLOCK',2,2,261004,2701,'y1004','_2',1.28E+02,2500,0
1,6,1,3000,'SHOT',2,2,266011,999,'y1004','',1.30E+02,3000,5
0,6,1,2000,'BATTLE',3,22,271504,716,'y1004','',1.33E+02,2000,5
2,7,1,1500,'COLD',3,14,276004,1157,'y1004','',1.35E+02,1500,0
2,7,1,2000,'DRINK',2,2,280004,1557,'y1004','',1.37E+02,2000,0
2,7,1,2000,'DIE',2,2,284504,1817,'y1004','',1.39E+02,2000,0
1,2,1,2000,'POET',3,22,289004,1872,'y1004','',1.42E+02,2000,1
2,7,1,1500,'STAND',1,22,293504,1298,'y1004','',1.44E+02,1500,0
0,3,1,2500,'FALL',3,22,297504,1068,'y1004','',1.46E+02,2500,3
2,7,1,2500,'CELL',2,2,302504,1858,'y1004','_2',1.48E+02,2500,0
0,6,1,2000,'CONTRACT',3,22,307505,1072,'y1004','',1.51E+02,2000,5
2,7,1,2000,'KID',2,2,312004,1449,'y1004','',1.53E+02,2000,0
2,7,1,2000,'MEAN',1,22,316504,1004,'y1004','',1.55E+02,2000,0
0,2,1,3000,'CARE',3,22,321004,1384,'y1004','',1.58E+02,3000,1
0,4,1,3000,'HALL',3,22,326504,1009,'y1004','',1.60E+02,3000,3
0,5,2,1500,'PRODUCT',2,2,2004,1561,'y1004','',-2.00E+00,1500,5
1,4,2,3000,'MARRIAGE',3,22,6005,800,'y1004','',2.50E-03,3000,3
0,2,2,1500,'SIGNAL',3,22,11504,797,'y1004','',2.75E+00,1500,1
1,4,2,1500,'RACE',3,22,15504,1022,'y1004','',4.75E+00,1500,3
0,1,2,1500,'LORD',3,22,19504,1222,'y1004','',6.75E+00,1500,1
1,5,2,2500,'WEIGHT',2,2,23505,931,'y1004','',8.75E+00,2500,5
1,4,2,2500,'GUY',2,2,28504,2238,'y1004','',1.13E+01,2500,3
0,5,2,2000,'BOX',3,22,33504,1093,'y1004','',1.38E+01,2000,5
1,1,2,2500,'COST',2,2,38004,2313,'y1004','',1.60E+01,2500,1
0,1,2,1500,'SCENE',2,2,43004,778,'y1004','',1.85E+01,1500,1
2,7,2,1500,'ENGINE',1,22,47004,1144,'y1004','',2.05E+01,1500,0
2,7,2,2000,'EXPRESSION',1,22,51005,1083,'y1004','',2.25E+01,2000,0
0,5,2,1500,'PIECE',2,2,55504,1109,'y1004','',2.48E+01,1500,5
1,1,2,2500,'MONEY',2,2,59504,1904,'y1004','',2.68E+01,2500,1
0,4,2,3000,'WIN',2,2,64504,980,'y1004','',2.93E+01,3000,3
0,2,2,2000,'DEEP',3,22,70004,1200,'y1004','',3.20E+01,2000,1
2,7,2,1500,'DIVISION',2,2,74505,1269,'y1004','',3.43E+01,1500,0
1,3,2,1500,'CENTURY',2,2,78505,1359,'y1004','',3.63E+01,1500,3
2,7,2,2000,'PRODUCTION',2,2,82505,2190,'y1004','',3.83E+01,2000,0
1,5,2,1500,'INFLUENCE',3,22,87005,1555,'y1004','',4.05E+01,1500,5
2,7,2,2500,'BAR',1,22,91004,816,'y1004','',4.25E+01,2500,0
1,6,2,3000,'HILL',2,2,96004,1616,'y1004','',4.50E+01,3000,5
1,2,2,2000,'SERIES',2,2,101504,1957,'y1004','',4.78E+01,2000,1
1,1,2,2000,'SUBJECT',2,2,106004,1082,'y1004','',5.00E+01,2000,1
2,7,2,2000,'MEMORY',2,2,110505,871,'y1004','',5.23E+01,2000,0
2,7,2,2500,'CORPORATION',1,22,115005,1272,'y1004','',5.45E+01,2500,0
1,2,2,2500,'STORE',2,2,120004,833,'y1004','',5.70E+01,2500,1
1,6,2,2000,'BREATH',3,22,125004,1233,'y1004','',5.95E+01,2000,5
0,4,2,2500,'MAJORITY',3,22,129505,1022,'y1004','',6.18E+01,2500,3
0,3,2,1500,'DIFFERENCE',2,2,134505,1503,'y1004','',6.43E+01,1500,3
1,4,2,2000,'TRIAL',3,22,138505,878,'y1004','',6.63E+01,2000,3
2,7,2,2000,'PAGE',1,22,143004,1569,'y1004','',6.85E+01,2000,0
0,1,2,2000,'COUNCIL',2,2,147505,1083,'y1004','',7.08E+01,2000,1
2,7,2,2500,'ROLE',2,2,152004,1585,'y1004','',7.30E+01,2500,0
2,7,2,2000,'ATMOSPHERE',1,22,157005,954,'y1004','',7.55E+01,2000,0
0,5,2,2500,'TROUBLE',2,2,161504,1080,'y1004','',7.78E+01,2500,5
2,7,2,2000,'CHINA',2,2,166504,1175,'y1004','',8.03E+01,2000,0
2,7,2,1500,'TRY',2,2,171004,1146,'y1004','',8.25E+01,1500,0
2,7,2,1500,'PROFESSOR',2,2,175005,1185,'y1004','',8.45E+01,1500,0
0,2,2,2000,'CUT',2,2,179004,761,'y1004','',8.65E+01,2000,1
0,6,2,1500,'THEME',2,2,183504,646,'y1004','',8.88E+01,1500,5
1,3,2,2500,'PRIVATE',3,22,187504,1207,'y1004','',9.08E+01,2500,3
2,7,2,1500,'BUDGET',2,2,192504,1092,'y1004','',9.33E+01,1500,0
1,1,2,3000,'RESPECT',3,22,196504,1102,'y1004','',9.53E+01,3000,1
2,7,2,1500,'SEAT',2,2,202004,697,'y1004','',9.80E+01,1500,0
0,6,2,2500,'TERM',2,2,206004,3928,'y1004','_2',1.00E+02,2500,5
0,6,2,2500,'REAR',2,2,211005,682,'y1004','',1.03E+02,2500,5
1,2,2,2500,'WAIT',2,2,216004,978,'y1004','',1.05E+02,2500,1
2,7,2,2500,'EVIDENCE',2,2,221005,868,'y1004','',1.08E+02,2500,0
2,7,2,2500,'MORNING',1,22,226005,1793,'y1004','',1.10E+02,2500,0
0,3,2,2000,'DUTY',2,2,231004,809,'y1004','',1.13E+02,2000,3
0,4,2,3000,'LEAD',2,2,235504,1644,'y1004','',1.15E+02,3000,3
2,7,2,2000,'OPENING',2,2,241005,699,'y1004','',1.18E+02,2000,0
2,7,2,1500,'AGREEMENT',2,2,245505,899,'y1004','',1.20E+02,1500,0
2,7,2,3000,'BAY',1,22,249504,700,'y1004','',1.22E+02,3000,0
0,4,2,1500,'DREAM',2,2,255004,901,'y1004','',1.25E+02,1500,3
2,7,2,1500,'FILL',2,2,259004,826,'y1004','',1.27E+02,1500,0
2,7,2,2500,'MAIN',1,22,263004,796,'y1004','',1.29E+02,2500,0
1,6,2,2500,'SEARCH',2,2,268004,866,'y1004','',1.31E+02,2500,5
0,1,2,2000,'BIRTH',99,0,273004,Inf,'y1004','',1.34E+02,2000,1
0,2,2,2500,'TRADITION',2,2,277506,1715,'y1004','',1.36E+02,2500,1
0,3,2,2500,'ANSWER',3,22,282505,811,'y1004','',1.38E+02,2500,3
2,7,2,2000,'TRIP',2,2,287504,782,'y1004','',1.41E+02,2000,0
1,5,2,1500,'COUSIN',3,22,292004,1793,'y1004','',1.43E+02,1500,5
1,6,2,2000,'RISK',2,2,296004,2648,'y1004','_2',1.45E+02,2000,5
0,6,2,2000,'EDGE',2,2,300504,798,'y1004','',1.47E+02,2000,5
1,2,2,1500,'ATTITUDE',3,22,305004,1328,'y1004','',1.50E+02,1500,1
2,7,2,2000,'FIRE',2,2,309004,809,'y1004','',1.52E+02,2000,0
0,3,2,2500,'LITERATURE',2,2,313505,2203,'y1004','',1.54E+02,2500,3
1,3,2,1500,'COMMITTEE',2,2,318505,923,'y1004','',1.56E+02,1500,3
1,5,2,2500,'DROVE',2,2,322504,999,'y1004','',1.58E+02,2500,5
1,3,2,2000,'LEADER',2,2,327504,1855,'y1004','',1.61E+02,2000,3
2,7,3,2500,'LIE',2,2,2004,1046,'y1004','',-2.00E+00,2500,0
0,5,3,1500,'WIFE',2,2,7004,766,'y1004','',5.02E-01,1500,5
1,1,3,2000,'RISE',2,2,11004,787,'y1004','',2.50E+00,2000,1
1,5,3,2000,'STOP',2,2,15504,857,'y1004','',4.75E+00,2000,5
1,1,3,1500,'DESK',2,2,20004,867,'y1004','',7.00E+00,1500,1
0,6,3,1500,'COURT',2,2,24004,812,'y1004','',9.00E+00,1500,5
0,5,3,2000,'PRODUCE',3,22,28005,862,'y1004','',1.10E+01,2000,5
1,2,3,2500,'WISH',3,22,32504,2048,'y1004','',1.33E+01,2500,1
1,6,3,1500,'FREEDOM',2,2,37505,1257,'y1004','',1.58E+01,1500,5
0,6,3,1500,'PHILOSOPHY',2,2,41505,1842,'y1004','',1.78E+01,1500,5
2,7,3,2000,'FEAR',2,2,45504,1585,'y1004','',1.98E+01,2000,0
1,6,3,2500,'COOL',3,22,50004,1300,'y1004','',2.20E+01,2500,5
1,2,3,2500,'COMMUNICATION',2,2,55005,1229,'y1004','',2.45E+01,2500,1
0,3,3,2000,'THEORY',3,22,60004,1100,'y1004','',2.70E+01,2000,3
2,7,3,1500,'BREAK',2,2,64504,1241,'y1004','',2.93E+01,1500,0
1,3,3,2000,'PORTION',2,2,68505,4055,'y1004','',3.13E+01,2000,3
1,1,3,2000,'CONFIDENCE',99,0,73005,Inf,'y1004','',3.35E+01,2000,1
2,7,3,1500,'PERSONNEL',1,22,77505,1190,'y1004','',3.58E+01,1500,0
0,1,3,2000,'PHASE',2,2,81505,2481,'y1004','',3.78E+01,2000,1
2,7,3,1500,'EXTREME',99,0,86005,Inf,'y1004','',4.00E+01,1500,0
1,3,3,2500,'CORNER',2,2,90004,1092,'y1004','',4.20E+01,2500,3
0,5,3,2500,'QUALITY',3,22,95004,2703,'y1004','',4.45E+01,2500,5
2,7,3,3000,'ATTEMPT',2,2,100005,1357,'y1004','',4.70E+01,3000,0
2,7,3,2500,'MISS',2,2,105505,832,'y1004','',4.98E+01,2500,0
2,7,3,1500,'LOVE',2,2,110504,1153,'y1004','',5.23E+01,1500,0
0,4,3,1500,'TREATMENT',99,0,114505,Inf,'y1004','',5.43E+01,1500,3
1,4,3,2500,'KEEP',3,22,118504,2249,'y1004','',5.63E+01,2500,3
2,7,3,2000,'MONTH',2,2,123505,873,'y1004','',5.88E+01,2000,0
0,1,3,2000,'DEGREE',2,2,128004,774,'y1004','',6.10E+01,2000,1
2,7,3,2500,'SYMBOL',2,2,132505,1039,'y1004','',6.33E+01,2500,0
0,3,3,2000,'NOVEL',2,2,137504,2665,'y1004','',6.58E+01,2000,3
2,7,3,2500,'COMPETITION',1,22,142006,683,'y1004','',6.80E+01,2500,0
1,2,3,2000,'POETRY',2,2,147005,4234,'y1004','_22',7.05E+01,2000,1
0,2,3,1500,'STEP',99,0,151505,Inf,'y1004','',7.28E+01,1500,1
0,1,3,2500,'VICTORY',2,2,155506,1729,'y1004','_2',7.48E+01,2500,1
0,4,3,1500,'THICK',3,22,160506,1118,'y1004','',7.73E+01,1500,3
2,7,3,2000,'SUMMER',2,2,164505,385,'y1004','',7.93E+01,2000,0
2,7,3,2500,'PERSON',2,2,169004,827,'y1004','',8.15E+01,2500,0
2,7,3,2500,'MARKET',2,2,174005,1251,'y1004','',8.40E+01,2500,0
1,3,3,3000,'RIVER',2,2,179004,637,'y1004','',8.65E+01,3000,3
2,7,3,2500,'APARTMENT',1,22,184505,1177,'y1004','',8.93E+01,2500,0
1,6,3,1500,'PAYMENT',3,22,189505,2602,'y1004','_2',9.18E+01,1500,5
0,2,3,2500,'RELATION',3,22,193505,2567,'y1004','',9.38E+01,2500,1
1,3,3,2000,'DEVICE',3,22,198504,2843,'y1004','_22',9.63E+01,2000,3
2,7,3,2000,'PRINCIPAL',2,2,203005,2218,'y1004','',9.85E+01,2000,0
2,7,3,2000,'SUCCESS',1,22,207504,899,'y1004','',1.01E+02,2000,0
1,5,3,1500,'BENEFIT',2,2,212004,1779,'y1004','',1.03E+02,1500,5
2,7,3,1500,'TAX',1,22,216004,1019,'y1004','',1.05E+02,1500,0
0,6,3,1500,'SHORE',3,22,220004,965,'y1004','',1.07E+02,1500,5
2,7,3,1500,'SPRING',2,2,224004,1035,'y1004','',1.09E+02,1500,0
1,4,3,2500,'JACK',3,22,228004,735,'y1004','',1.11E+02,2500,3
2,7,3,2000,'GENERATION',2,2,233005,1014,'y1004','',1.14E+02,2000,0
2,7,3,3000,'BEAUTY',1,22,237504,1416,'y1004','',1.16E+02,3000,0
0,6,3,1500,'NECK',2,2,243004,1406,'y1004','',1.19E+02,1500,5
1,5,3,1500,'TRUTH',3,22,247004,836,'y1004','',1.21E+02,1500,5
2,7,3,2500,'LACK',1,22,251004,1541,'y1004','',1.23E+02,2500,0
0,2,3,2000,'CAPTAIN',3,22,256005,1566,'y1004','',1.25E+02,2000,1
1,5,3,1500,'TASK',3,22,260504,807,'y1004','',1.27E+02,1500,5
0,1,3,1500,'MOON',2,2,264504,672,'y1004','',1.29E+02,1500,1
2,7,3,1500,'TOWN',1,22,268504,727,'y1004','',1.31E+02,1500,0
2,7,3,2500,'CAREER',1,22,272504,2033,'y1004','',1.33E+02,2500,0
0,3,3,2500,'CIRCLE',99,0,277504,Inf,'y1004','',1.36E+02,2500,3
0,3,3,2500,'DEPARTMENT',3,22,282505,1942,'y1004','',1.38E+02,2500,3
0,4,3,2000,'FAST',2,2,287504,1018,'y1004','',1.41E+02,2000,3
1,2,3,2000,'PAIR',3,22,292004,639,'y1004','',1.43E+02,2000,1
